"","Cad0927","Cad1003","Cad0770","Cad1745","Cad0866","Cad1679","Cad1983","Cad0453","Cad0996","Cad0015","Cad0671","Cad0579","Cad1237","Cad0912","Cad1032","Cad1029","Cad1591","wt"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0.00342465753424658,0.00342465753424658,0.0171232876712329,0.0376712328767123,0.0479452054794521,0.0719178082191781,0.00684931506849315,0.0924657534246575,0.150684931506849,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0.0454545454545455,0,0,0.0909090909090909,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.666666666666667,0.666666666666667,0.777777777777778,0.777777777777778,0
"68",0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0.769230769230769,0.846153846153846,0.846153846153846,0.923076923076923,0
"74",0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.666666666666667,0.833333333333333,0.833333333333333,1,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0.846153846153846,0.846153846153846,0.923076923076923,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.9,1,1,1,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0.176470588235294,0.294117647058824,0.235294117647059,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636,0,0,0,0,0
