"","Cad1598","Cad0630","Cad0912","Cad1029","Cad1032","Cad0069","Cad0339","Cad1491","Cad0987","Cad1357","Cad1406","Cad1471","Cad0739","Cad2096","Cad0761","Cad0316","Cad1106","Cad1287","Cad1487","Cad1592","Cad1738","Cad0100","wt"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.833333333333333,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,1,0
"44",0,0,0,0,0,0.00561797752808989,0,0.00561797752808989,0,0,0,0.0561797752808989,0,0,0,0,0,0,0,0,0,0.539325842696629,0
"45",0,0,0,0,0,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0303030303030303,0,0,0.0909090909090909,0,0,0.0606060606060606,0,0,0,0,0,0,0.212121212121212,0
"46",0.00555555555555556,0.0166666666666667,0,0,0,0,0.0611111111111111,0.0555555555555556,0.0666666666666667,0,0,0,0,0,0.177777777777778,0,0,0,0,0,0,0,0
"47",0,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.296296296296296,0,0,0.851851851851852,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
