"","Cad1001","Cad1976","Cad0743","Cad0996","Cad1033","Cad1305","Cad1553","Cad1559","Cad1690","Cad0381","Cad0205","Cad0820","Cad1406","wt"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0
"65",0.0128205128205128,0.0128205128205128,0.0170940170940171,0,0,0.0170940170940171,0.0598290598290598,0.0299145299145299,0,0.00854700854700855,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0.276315789473684,0,0
"67",0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0
"68",0,0,0,0,0,0.037037037037037,0,0,0,0.037037037037037,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0.607142857142857,0
"71",0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.555555555555556,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0.0416666666666667,0.0416666666666667,0,0,0,0.0833333333333333,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0
