"","Cad1706","Cad1459","Cad0215","Cad1250","Cad1468","Cad1008","Cad1602","Cad0620","Cad1819","Cad0881","Cad1929","Cad1201","wt"
"9",0,0,0,0,0,0,0,0,0,0,0,0.625,0
"11",0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0
"39",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0
"43",0,0,0,0,0,0,0,0,0,0,0,0.866666666666667,0
"47",0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0
"50",0,0,0,0,0,0,0,0,0,0,0,0.741935483870968,0
"53",0,0,0,0,0,0,0,0.153846153846154,0.0769230769230769,0,0,0.769230769230769,0
"54",0,0,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.0217391304347826,0,0.0652173913043478,0,0,0.391304347826087,0
"55",0,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.0485436893203883,0,0.106796116504854,0,0,0.0776699029126214,0
"57",0.00869565217391304,0,0,0,0,0.0260869565217391,0,0,0,0.260869565217391,0,0,0
"58",0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,0
