"","Cad0294","Cad1762","Cad1443","Cad1097","Cad1665","Cad1782","wt"
"3B_47",-2.86512632783629,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3B_55",-2.99573227355399,-2.41755896649774,-2.41755896649774,-2.99573227355399,-2.99573227355399,-1.7872685898655,-2.99573227355399
"3B_57",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.33220981077897,-2.99573227355399
"3B_58",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.55621843725925,-2.99573227355399
"3B_60",-2.99573227355399,-2.99573227355399,-2.40019747312861,-2.99573227355399,-2.99573227355399,-2.40019747312861,-2.99573227355399
"3B_75",-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.95551698904546,-2.99573227355399,-1.95551698904546,-2.99573227355399
"3B_110",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.88429063944128,-2.99573227355399
"3B_115",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.131879864586049,-0.131879864586049,-2.99573227355399
"3B_119",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.462765961945506,-2.99573227355399
"3B_122",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.743321280650481,-2.99573227355399
