"","Cad1019","Cad0387","Cad0166","Cad1487","Cad0213","Cad1289","Cad1752","Cad1998","Cad1050","Cad0665","Cad0116","wt"
"3D_15",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.675866168432768,-0.675866168432768,-2.99573227355399
"3D_18",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.343975599913651,0.343975599913651,-2.99573227355399
"3D_23",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.17202120451933,-2.99573227355399,-1.17202120451933,-1.17202120451933,-2.99573227355399
"3D_31",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.409663402664753,-2.99573227355399
"3D_36",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.46515988779534,-2.99573227355399
"3D_37",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.0167104285592047,-2.99573227355399
"3D_43",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.62753628269916,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3D_53",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.58162605602175,-2.76739510151895,-2.99573227355399,-1.96769897223508,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3D_54",-2.91463415681151,-2.83962243403143,-2.70462418641893,-2.38337605660601,-2.6433961903297,-1.97543357705453,-2.99573227355399,-2.91463415681151,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3D_55",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.32807336866903,-2.99573227355399,-2.99573227355399,-2.32807336866903,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3D_82",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.48097266061631,-2.99573227355399,-2.99573227355399,-2.99573227355399
"3D_83",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.974629200518881,-2.99573227355399,-2.99573227355399,-2.99573227355399
