"","Cad0193","Cad0343","Cad1018","Cad0667","Cad1186","Cad1975","Cad1997","Cad1585","Cad0246","Cad1640","Cad1013","Cad0610","Cad0773","Cad0205","Cad1050","Cad0330","wt"
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0.253521126760563,0,0,0
"61",0.0125786163522013,0.0125786163522013,0.0125786163522013,0.0251572327044025,0.0377358490566038,0.0377358490566038,0,0.0440251572327044,0.050314465408805,0.0440251572327044,0.0754716981132075,0,0,0,0,0,0
"62",0,0,0,0,0,0,0.0434782608695652,0,0,0.0072463768115942,0,0,0,0,0.181159420289855,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.0769230769230769,0,0.307692307692308,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
