"","Cad0691","Cad1002","Cad1263","Cad0977","Cad0447","Cad0155","Cad1786","Cad0820","Cad1731","Cad1685","Cad0095","Cad1734","wt"
"1",0,0,0,0,0,0,0,0,0,0.8,0,0,0
"43",0,0,0,0,0,0,0,0,0,0.894736842105263,0,0,0
"47",0,0,0,0,0,0,0,0,0,0.866666666666667,0,0,0
"49",0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0
"52",0,0,0,0,0,0,0,0,0,0.565217391304348,0,0,0
"53",0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.428571428571429,0
"54",0,0,0,0,0,0,0.0212765957446809,0,0.212765957446809,0,0,0.659574468085106,0
"55",0.00291545189504373,0.00291545189504373,0.00291545189504373,0.00583090379008746,0.0087463556851312,0.0116618075801749,0.0087463556851312,0.00583090379008746,0.12536443148688,0,0,0.469387755102041,0
"58",0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0
"59",0,0,0,0,0,0,0,0,0,0,0,1,0
"62",0,0,0,0,0,0,0,0,0,0,0,1,0
"66",0,0,0,0,0,0,0,0,0,0,0.636363636363636,0.818181818181818,0
"67",0,0,0,0,0,0,0,0,0,0,0.923076923076923,0.923076923076923,0
"70",0,0,0,0,0,0,0,0,0,0,0.642857142857143,0.785714285714286,0
"84",0,0,0,0,0,0,0,0,0,0,0.916666666666667,1,0
"88",0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.714285714285714,0
"89",0,0,0,0,0,0,0,0,0,0,0.75,0.625,0
"90",0,0,0,0,0,0,0,0,0,0,0.875,0.75,0
