"","Cad1725","Cad0803","Cad1494","Cad0354","Cad0423","Cad1135","Cad0827","Cad1571","Cad1524","wt"
"0",0.0131578947368421,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.529411764705882,0,0,0,0
"7",0,0,0,0,0,0.0833333333333333,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0.25,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0
"48",0,0.0416666666666667,0,0,0,0,0,0,0.666666666666667,0
"53",0,0,0,0,0,0,0,0,1,0
"57",0,0,0,0,0,0,0,0,1,0
"58",0,0,0.0454545454545455,0,0,0,0.727272727272727,0,1,0
"60",0,0,0.0588235294117647,0,0,0,0,0,0.588235294117647,0
"68",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0.8,0,0
"81",0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0.166666666666667,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0
