"","Cad0442","Cad0465","Cad0155","Cad0170","Cad1643","Cad1129","Cad0015","Cad0697","Cad1653","Cad0423","Cad0972","Cad1852","Cad0250","Cad0764","Cad1026","Cad1694","wt"
"0",0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0.142857142857143,1,1,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636,0.818181818181818,0
"36",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.777777777777778,0.833333333333333,0
"37",0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0.428571428571429,0
"38",0,0,0,0,0.0153846153846154,0,0.0153846153846154,0.0307692307692308,0,0.0153846153846154,0.153846153846154,0.0153846153846154,0,0,0.153846153846154,0.446153846153846,0
"39",0.00353356890459364,0.00353356890459364,0.00706713780918728,0.0176678445229682,0.0106007067137809,0,0.0247349823321555,0.0600706713780919,0,0.0176678445229682,0.0954063604240283,0,0.00353356890459364,0,0.102473498233216,0.240282685512367,0
"40",0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0.27027027027027,0,0,0.027027027027027,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0.391304347826087,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0
