"","Cad1467","Cad1839","Cad0075","Cad0330","Cad1342","Cad1050","Cad1623","Cad1210","wt"
"5D_0",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.733939599781489,-2.99573227355399,-2.99573227355399
"5D_2",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.395688605846089,-2.99573227355399,-2.99573227355399
"5D_3",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.735669475279534,-2.99573227355399,-2.99573227355399
"5D_5",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.82075830515259,-2.99573227355399,-2.99573227355399
"5D_6",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.42623555546537,-2.99573227355399,-2.99573227355399
"5D_8",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.0567242404400629,-2.99573227355399,-2.99573227355399
"5D_9",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.681362786744339,-2.99573227355399,-2.99573227355399
"5D_10",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.15214773646135,-2.99573227355399,-2.99573227355399
"5D_11",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.00303490369515394,-2.99573227355399,-2.99573227355399
"5D_14",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.71818449150164,-2.99573227355399,-2.99573227355399
"5D_15",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.262364264467491,-2.99573227355399,-2.99573227355399
"5D_29",-2.99573227355399,-2.99573227355399,-1.75006656692938,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_30",-2.99573227355399,-2.2921749443924,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_31",-2.82827160503081,-2.34784717044036,-2.44807620401894,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_49",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.219311517246041,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_50",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.387236045259415,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_52",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.560657997513867,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_98",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-1.2163645366211,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399
"5D_100",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.955946322181496,-2.99573227355399
"5D_102",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.87176903678817,-2.99573227355399
"5D_104",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.624965668143874,-2.99573227355399
"5D_106",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.1493774010746,-2.99573227355399
"5D_107",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.952573626691192,-2.99573227355399
"5D_108",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,1.32274300689368,-2.99573227355399
"5D_109",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.268393463968692,-2.99573227355399
"5D_112",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.776885232204605,-2.99573227355399
"5D_113",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.919890801218109,-2.99573227355399
"5D_115",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.717839793150317,-2.99573227355399
"5D_116",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,2.21275984342029,-2.99573227355399
"5D_117",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,1.28686858098188,-2.99573227355399
"5D_118",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,1.00817065676315,-2.99573227355399
"5D_121",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-0.288614908340322,-2.99573227355399
"5D_123",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.048790164169432,-2.99573227355399
"5D_124",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,1.79511205199202,-2.99573227355399
"5D_126",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,1.01258323002859,-2.99573227355399
"5D_127",-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,-2.99573227355399,0.642828070370237,-2.99573227355399
