"","Cad0350","Cad1571","Cad0964","Cad1985","Cad0320","Cad0551","Cad0285","Cad2073","Cad0457","wt"
"5",0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0.882352941176471,0
"47",0,0,0,0,0,0,0,0,0.75,0
"49",0,0,0,0,0,0,0,0,0.88,0
"50",0,0,0,0,0,0,0.0666666666666667,0,0.133333333333333,0
"51",0,0,0,0,0,0,0,0.148148148148148,0,0
"52",0.00418410041841004,0.00418410041841004,0.00836820083682008,0.00836820083682008,0,0.0711297071129707,0.0418410041841004,0.112970711297071,0,0
"53",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0.0253164556962025,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0
