"","Cad1985","Cad1118","Cad0124","Cad0442","Cad0455","Cad0905","Cad0979","Cad1051","Cad1129","Cad1444","Cad1988","Cad1410","Cad0721","Cad0082","Cad1067","Cad0453","Cad0113","Cad1761","Cad1468","wt"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0,0,0,0
"83",0.00584795321637427,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0380116959064327,0,0,0,0,0,0
"84",0,0,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0,0.032258064516129,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.375,0,0.5,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0.857142857142857,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,0.857142857142857,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.5,0
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666666666667,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818181818,0.818181818181818,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.833333333333333,0
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.727272727272727,0
