"","Cad1998","Cad1662","Cad0904","Cad1008","Cad2014","Cad1725","Cad2087","Cad0894","wt"
"0",0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0.0625,0,0,0,0
"64",0,0,0,0,0.237623762376238,0,0,0,0
"65",0,0,0.05,0,0.3,0,0,0,0
"66",0,0.0266666666666667,0.146666666666667,0,0,0,0,0,0
"67",0.02,0,0.08,0,0,0,0,0.1,0
"68",0,0,0,0,0,0,0,0.8125,0
"69",0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0.804347826086957,0
"71",0,0,0,0,0,0,0,1,0
"72",0,0,0,0,0,0,0.888888888888889,0.888888888888889,0
"73",0,0,0,0,0,0,0.5,0.5,0
"74",0,0,0,0,0,0,1,1,0
"76",0,0,0,0,0,0,1,1,0
"77",0,0,0,0,0,0,1,1,0
"78",0,0,0,0,0,0,1,1,0
"80",0,0,0,0,0,0,0.5,1,0
"81",0,0,0,0,0,0,1,1,0
"82",0,0,0,0,0,0,1,1,0
"83",0,0,0,0,0,0,0.875,1,0
"84",0,0,0,0,0,0,0.875,0.75,0
"85",0,0,0,0,0,0,1,1,0
"86",0,0,0,0.5,0,0,1,1,0
"87",0,0,0,0,0,0,1,1,0
"88",0,0,0,0,0,0,0.5,0.75,0
"91",0,0,0,0,0,0,0.5,0.5,0
"93",0,0,0,0,0,0,1,1,0
"95",0,0,0,0,0,0,1,1,0
"96",0,0,0,0,0,0,1,1,0
"97",0,0,0,0,0,0,1,1,0
"99",0,0,0,0,0,0,0.666666666666667,0.666666666666667,0
"103",0,0,0,0,0,0,1,0.5,0
"104",0,0,0,0,0,0,0.8,0.8,0
"105",0,0,0,0,0,0,0,1,0
"106",0,0,0,0,0,0,0.5,0.5,0
"107",0,0,0,0,0,0,0.5,0.5,0
"108",0,0,0,0,0,0,0.8,0.7,0
"111",0,0,0,0,0,0,0.555555555555556,0.777777777777778,0
"112",0,0,0,0,0,0,1,1,0
"121",0,0,0,0,0,1,0,0,0
"122",0,0,0,0,0,0,1,1,0
"123",0,0,0,0,0,0,0.6,0.4,0
"127",0,0,0,0,0,0,1,1,0
"132",0,0,0,0,0,0,0.4,0.4,0
"133",0,0,0,0,0,0,1,1,0
"136",0,0,0,0,0,0,0.857142857142857,0.714285714285714,0
